cell	count(cell)	drug	count(drug)	count(cell,drug)	ratio(by drug)	ratio(bycell)
KATOIII	27	ESR1_3	144	0	0	0
Hs-578-T	127	ESR1_3	144	0	0	0
CAMA-1	427	ESR1_3	144	11	0.0763888888888889	0.0257611241217799
MDA-MB-361	451	ESR1_3	144	15	0.104166666666667	0.0332594235033259
NCI-H23	85	ESR1_3	144	0	0	0
SW780	181	ESR1_3	144	0	0	0
SW48	124	ESR1_3	144	0	0	0
MDA-MB-175-VII	88	ESR1_3	144	3	0.0208333333333333	0.0340909090909091
HT-1376	170	ESR1_3	144	0	0	0
CAL-148	138	ESR1_3	144	0	0	0
KMS-11	19	ESR1_3	144	0	0	0
VM-CUB-1	128	ESR1_3	144	0	0	0
DMS-114	110	ESR1_3	144	0	0	0
SW948	95	ESR1_3	144	0	0	0
HCC1187	189	ESR1_3	144	4	0.0277777777777778	0.0211640211640212
NCI-H520	111	ESR1_3	144	0	0	0
HCC38	137	ESR1_3	144	0	0	0
MDA-MB-231	140	ESR1_3	144	0	0	0
NCI-H226	79	ESR1_3	144	0	0	0
SW620	106	ESR1_3	144	0	0	0
HCC1500	375	ESR1_3	144	11	0.0763888888888889	0.0293333333333333
MDA-MB-468	181	ESR1_3	144	4	0.0277777777777778	0.0220994475138122
NCI-H358	91	ESR1_3	144	0	0	0
HT-29	84	ESR1_3	144	0	0	0
EVSA-T	35	ESR1_3	144	4	0.0277777777777778	0.114285714285714
647-V	191	ESR1_3	144	0	0	0
NCI-H747	110	ESR1_3	144	0	0	0
NCI-H1437	89	ESR1_3	144	0	0	0
HCC1428	136	ESR1_3	144	0	0	0
NCI-H1703	118	ESR1_3	144	0	0	0
HCC1419	262	ESR1_3	144	12	0.0833333333333333	0.0458015267175573
NCI-H838	84	ESR1_3	144	0	0	0
NCI-H2170	77	ESR1_3	144	0	0	0
HCT-116	63	ESR1_3	144	0	0	0
NCI-H1563	65	ESR1_3	144	0	0	0
NCI-H1793	91	ESR1_3	144	0	0	0
MCF7	404	ESR1_3	144	12	0.0833333333333333	0.0297029702970297
HCC1395	183	ESR1_3	144	3	0.0208333333333333	0.0163934426229508
NCI-H1299	91	ESR1_3	144	0	0	0
COLO-205	123	ESR1_3	144	0	0	0
UM-UC-3	196	ESR1_3	144	0	0	0
NCI-SNU-16	26	ESR1_3	144	0	0	0
BT-549	139	ESR1_3	144	0	0	0
NCI-H522	88	ESR1_3	144	0	0	0
Calu-6	87	ESR1_3	144	0	0	0
TCCSUP	193	ESR1_3	144	0	0	0
RT4	27	ESR1_3	144	0	0	0
CAL-120	158	ESR1_3	144	0	0	0
DU-4475	125	ESR1_3	144	0	0	0
HCC1954	50	ESR1_3	144	4	0.0277777777777778	0.08
